citing_decision	target_key	page	verdict
30054	EP 558	2	caption
30728	AB 425	2	caption
31215	AB 564	3	caption
32085	AB 590	3	caption
32361	AB 596	4	caption
32487	AB 596	1	caption
32883	AB 564	1	caption
33623	AB 848	5	caption
33625	AB 596	2	caption
34511	AB 838	1	caption
34900	AB 33	4	caption
36690	AB 31	1	caption
36717	AB 303	9	caption
37101	AB 167	5	caption
38681	AB 1014	4	caption
38939	AB 884	1	caption
40658	AB 1036	1	caption
41083	AB 1063	5	caption
41730	AB 1071	3	caption
41758	AB 1053	7	caption
41768	AB 1071	1	caption
41966	AB 1071	16	caption
41966	AB 1071	2	caption
41966	AB 1071	6	caption
44106	AB 1110	1	caption
44497	AB 1234	1	caption
44554	AB 1232	1	caption
44732	AB 33	1	caption
45501	AB 33	1	caption
45777	AB 1253	6	caption
45793	AB 1242	2	caption
46144	AB 1258	3	caption
46150	AB 1257	6	caption
46401	AB 1256	2	caption
46580	AB 1256	1	caption
47226	AB 1270	7	caption
50111	AB 1261	1	caption
50758	AB 1311	7	caption
51260	AB 1242	1	unclear
51837	AB 1331	2	caption
